457 1559 752 2680 2080
928 1990 2879 2550 2113
56 465 332 539 949
1640 721 2654 117 1555
708 1214 1849 334 1513
2298 459 2873 1690 778
1745 1219 997 1767 2003
1390 1151 1799 1600 1081
163 632 2110 1421 2104
712 1520 1603 518 1460
2160 2667 2050 124 2486
1459 410 1988 2821 1346
1099 531 1986 1247 66
604 1986 2760 1055 1390
1208 311 1641 2908 753
610 1713 2782 2838 2100
2233 1110 2959 2843 705
1494 2952 371 2904 344
2089 2884 6 2638 1979
1560 1048 2934 2191 2524
2071 2901 1232 1661 912
1708 1332 1713 699 589
1414 1092 452 113 400
492 1338 2748 2786 2192
1044 2921 2299 243 2494
1682 1557 1289 2399 2810
1019 837 609 914 1306
1895 169 448 720 2096
1104 2265 38 1582 58
2596 2134 1389 371 2489
1069 1166 1440 876 731
1155 812 826 672 2239
2155 2745 2072 688 2430
1412 1727 809 1531 1536
2478 868 60 2385 781
461 2506 1488 2850 2237
2814 1954 789 1977 2675
1916 1469 196 1995 2547
917 2596 1319 137 965
1683 2003 2009 1648 2912
892 2499 461 778 1094
1404 416 881 1895 2071
887 1548 376 1309 15
1234 1424 926 154 2081
355 2183 1368 2268 2102
805 735 1674 112 2191
412 1650 1249 347 2951
819 1612 2015 698 998
2429 750 2329 2870 906
973 1726 1124 243 777
901 1674 385 1768 2543
818 902 260 496 262
2119 432 2173 2682 2090
1519 1707 810 1183 1773
2252 1123 2078 1230 2199
2077 815 361 2692 759
2196 241 183 66 837
1311 372 1287 2593 2421
1740 2701 1380 2946 2615
2872 1165 2626 1872 2010
447 2169 2693 2474 2936
155 1210 1186 219 2974
1259 2478 109 1439 2937
1783 2502 2833 1151 2213
2474 725 1039 1910 292
2494 1758 2367 2949 1822
384 196 1362 2886 2774
1192 804 2839 1116 970
2768 2112 2489 2179 2705
754 2731 1622 2914 607
2060 789 1014 1637 2996
2051 2046 2557 2289 1224
454 449 636 2300 470
1695 60 2407 2739 550
2670 2392 904 1481 1425
1850 1494 534 1427 2691
1432 2504 619 1215 831
2971 1945 357 2013 1223
2243 2377 2774 2054 855
2076 2654 1444 841 82
2722 1565 2432 406 857
1204 1302 2022 147 1575
1307 2308 718 1520 25
1774 2432 20 463 1169
346 2256 139 584 1854
2531 758 2286 1306 1791
2877 2376 2875 656 2976
1073 2246 1099 1842 324
138 2989 675 1935 1209
421 225 2753 1480 2020
2883 2347 1020 617 961
886 2270 2733 646 2442
1481 1125 2295 1603 567
2640 332 2817 2925 131
842 2399 384 2590 1004
843 2017 1700 1487 686
1053 658 2798 392 738
1091 1467 543 2937 478
1723 2229 1140 582 2663
3 1840 838 2770 295
2485 1558 2261 2017 1258
2672 1663 1174 961 900
148 1484 468 1432 2946
2050 2304 2072 803 2320
2821 1970 2637 1296 607
2847 611 736 15 13
361 1120 1297 6 2151
2053 1411 1604 2516 2020
284 2195 1785 2495 1550
434 2984 2178 1018 2554
1160 1603 373 2627 1421
1880 2943 1894 530 2424
1881 2709 888 2950 260
1568 812 170 2790 2972
1134 2509 250 1982 1818
1903 1212 2710 1904 2978
275 538 967 2 2878
1365 2039 1033 510 770
272 362 1621 2175 1398
2986 1942 135 497 1167
2062 1666 59 162 1055
2834 505 852 1199 1540
516 1493 2041 782 183
104 2772 2505 1999 2095
220 1145 1756 1727 626
2851 790 1079 1302 2995
985 866 2969 214 1492
1055 897 2557 805 2084
1431 685 2177 694 2940
856 1559 649 844 2942
2192 523 238 48 553
971 1601 1962 991 2249
1624 2363 2964 1083 1386
2998 2 874 549 1951
897 15 1231 1584 2472
426 2738 1662 2438 1401
1080 845 2010 1763 2330
2152 906 2708 1925 1931
2263 2122 2576 748 224
2414 1567 2105 2548 1497
2863 1656 2714 1330 125
2432 2087 1207 2999 84
1882 2619 1532 1961 2484
2181 1446 158 2038 2546
952 2743 855 1770 658
1818 2945 493 1688 825
1410 606 1712 2532 2541
647 2832 785 1373 1241
1710 917 1695 360 2573
1736 1808 1345 978 43
1421 2768 1222 1243 1929
150 900 2613 2119 2145
2127 2871 274 320 1119
918 1731 900 2853 1419
2278 2678 224 1733 2642
2608 398 1691 104 2766
833 2822 460 2280 969
329 2809 993 553 2073
2238 964 164 966 1238
2744 2768 2661 694 1130
1316 1439 764 2868 69
2726 1844 770 2454 2480
2163 1067 1366 242 1766
159 2194 2411 1913 2803
257 114 1087 2468 1504
1471 834 2064 2628 343
862 2164 717 1804 2634
2937 1044 2177 185 1543
1115 2488 1923 2846 2350
225 413 622 2681 1423
493 2870 521 625 1489
737 1513 2871 29 2975
955 1806 212 128 292
1175 1487 2121 290 1995
1672 1040 2753 399 1136
2586 2306 57 1250 1368
2201 2210 2744 776 2964
346 2686 285 998 2299
946 2724 47 2523 269
1349 2026 800 2682 1356
2257 1255 770 620 1005
2146 805 1819 2097 948
2833 1363 1169 2529 1575
1927 2368 95 239 836
1048 1254 558 1558 756
584 1111 1046 783 603
2796 2455 248 1694 1538
2103 2286 1387 2152 1921
767 915 1270 297 306
2156 2005 2625 543 1996
2409 358 1744 2856 1613
1939 38 2522 1512 1386
1505 2198 2925 398 2664
76 1876 461 2164 1894
1157 1442 702 2996 1402
1367 836 1250 2976 514
2069 2748 62 332 242
1829 775 2082 2729 1720
1471 1426 2195 2985 2272
2220 2472 2290 2947 1764
2477 1401 1625 758 1770
2253 2684 1386 651 1760
549 970 2556 1838 2399
1558 621 2356 855 2241
491 0 2175 2874 96
385 1525 1008 1244 2287
356 32 345 1654 1761
903 168 2253 540 2955
893 2707 485 1737 161
2511 898 1818 2859 1262
1202 2321 1214 1493 2203
1619 2585 2602 1391 1706
